turbine [MW],site,seed,LCOE [€/MWh],avg_water_depth [m],AEP [GWh],AEP without wake loss [GWh],Wake loss [%],Monopile Cost [M€],Monopile Tax [M€],CAPEX [M€],Turbine Tax [M€]
8,EIB1N,1,61.6213597697983,-42.21864545618181,3628.070884241216,3795.1989894164094,4.403671734769675,497.2850547125274,5.431693615531198,2083200502.8506627,5.565608110711412
8,EIB1N,2,61.57220216090087,-42.16483387589887,3630.990720159433,3795.1989894164094,4.32673674594933,497.08266499243285,5.429482974089092,2083200502.648273,5.565608110711412
8,EIB1N,3,61.60398688651008,-42.15393918415296,3628.904726113757,3795.1989894164094,4.38170076895558,497.0416891727045,5.429035407655514,2083200502.6072967,5.565608110711412
8,EIB1N,4,61.53910083450431,-42.10538584789189,3632.859264783808,3795.1989894164094,4.277502315038445,496.8590761350671,5.427040780909248,2083200502.424684,5.565608110711412
8,EIB1N,5,61.53579180693805,-42.11434806835573,3633.110680059861,3795.1989894164094,4.270877753934959,496.8927837734892,5.427408959205936,2083200502.458392,5.565608110711412
8,EIB1N,6,61.55148548360892,-42.196372989235336,3632.45732248254,3795.1989894164094,4.2880931247005645,497.201286156997,5.430778637041605,2083200502.766894,5.565608110711412
8,EIB1N,7,61.60905774034153,-42.15287230583664,3628.575049687343,3795.1989894164094,4.390387439333958,497.0376765567828,5.428991579070527,2083200502.6032848,5.565608110711412
8,EIB1N,8,61.558207573351446,-42.12471964806477,3631.7156321188686,3795.1989894164094,4.3076359830787325,496.9317921263979,5.427835035597008,2083200502.4974,5.565608110711412
8,EIB1N,9,61.58583953901164,-42.08701562252863,3629.779171514901,3795.1989894164094,4.358659937537189,496.7899842267864,5.426286110979926,2083200502.3555925,5.565608110711412
8,EIB1N,10,61.53670433423112,-42.179248925189256,3633.3328998187167,3795.1989894164094,4.265022467835972,497.1368811625526,5.430075160848592,2083200502.702489,5.565608110711412
8,EIB1S,1,61.35315117745976,-37.38036304103286,3624.332452329375,3790.254748258752,4.3776027457152304,479.0878819368514,5.232931424209166,2083200484.65349,5.565608110711412
8,EIB1S,2,61.33000869735518,-37.54508084112625,3626.536899217677,3790.254748258752,4.319441829504651,479.70739894936463,5.239698220375053,2083200485.273007,5.565608110711412
8,EIB1S,3,61.33865838872116,-37.59253794983016,3626.1862094350895,3790.254748258752,4.328694236160101,479.885888986204,5.241647812835854,2083200485.451497,5.565608110711412
8,EIB1S,4,61.35628003297196,-37.50265115152034,3624.662130799694,3790.254748258752,4.368904689985051,479.5478174437131,5.237955160057454,2083200485.1134253,5.565608110711412
8,EIB1S,5,61.33777394033121,-37.40763740692818,3625.440150826733,3790.254748258752,4.348377836812557,479.1904630402178,5.234051886444959,2083200484.756071,5.565608110711412
8,EIB1S,6,61.348047103826765,-37.556723930935,3625.426509272461,3790.254748258752,4.3487377480897145,479.7511895549377,5.240176531859496,2083200485.3167973,5.565608110711412
8,EIB1S,7,61.36956622483672,-37.50345570878273,3623.8112973846232,3790.254748258752,4.391352611604607,479.5508434488643,5.237988212192653,2083200485.1164515,5.565608110711412
8,EIB1S,8,61.35524341297015,-37.43360293071273,3624.429034517591,3790.254748258752,4.375054574295861,479.28812148219686,5.235118579945546,2083200484.8537288,5.565608110711412
8,EIB1S,9,61.340468082116416,-37.35312195157624,3625.0300476625,3790.254748258752,4.359197773504702,478.9854259888712,5.231812329007646,2083200484.551034,5.565608110711412
8,EIB1S,10,61.359523545809886,-37.567086965467176,3624.73325397331,3790.254748258752,4.367028215227015,479.7901657687427,5.240602257204904,2083200485.3557737,5.565608110711412
