turbine [MW],site,seed,LCOE [€/MWh],avg_water_depth [m],AEP [GWh],AEP without wake loss [GWh],Wake loss [%],Monopile Cost [M€],Monopile Tax [M€],CAPEX [M€],Turbine Tax [M€]
8,EIB1N,1,66.03530671634837,-42.25459293131608,3633.5822893671743,3795.1989894164094,4.258451282789993,621.5138675408795,129.52678183638363,2083200754.197965,132.68409735936004
8,EIB1N,2,66.07162025628283,-42.29714633757186,3631.6347462407575,3795.1989894164094,4.309767251513843,621.7138419350603,129.5684575592929,2083200754.3979392,132.68409735936004
8,EIB1N,3,66.07065288795441,-42.29533050418869,3631.683182373455,3795.1989894164094,4.308491004001336,621.7053086538806,129.56667917829864,2083200754.389406,132.68409735936004
8,EIB1N,4,66.07926052521576,-42.1037862015448,3630.212707670377,3795.1989894164094,4.347236658897917,620.805170233709,129.3790855639624,2083200753.489268,132.68409735936004
8,EIB1N,5,66.0931277568889,-42.32741751406047,3630.507721674336,3795.1989894164094,4.339463311445464,621.8560975313119,129.59810437900686,2083200754.5401947,132.68409735936004
8,EIB1N,6,66.12546102732858,-42.22249800334901,3628.062583577502,3795.1989894164094,4.403890449617999,621.3630414533528,129.49534888089448,2083200754.0471387,132.68409735936004
8,EIB1N,7,66.1264323050053,-42.32374375018221,3628.511277779173,3795.1989894164094,4.392067770414028,621.8388331388562,129.59450638817844,2083200754.5229304,132.68409735936004
8,EIB1N,8,66.07523418422291,-42.14468709641344,3630.656748883496,3795.1989894164094,4.335536581659341,620.997378857941,129.41914285928303,2083200753.681476,132.68409735936004
8,EIB1N,9,66.12457719083503,-42.25502819929974,3628.277736467567,3795.1989894164094,4.398221369006813,621.5159130281623,129.52720812676728,2083200754.2000103,132.68409735936004
8,EIB1N,10,66.05638553460835,-42.15251055456602,3631.816735930649,3795.1989894164094,4.304971990701472,621.0341442180406,129.4268049550551,2083200753.7182412,132.68409735936004
8,EIB1S,1,65.76949175576023,-37.74002107251887,3626.765565228628,3790.254748258752,4.3134088310352,600.2982034640223,125.10532507425222,2083200732.9823008,132.68409735936004
8,EIB1S,2,65.78722423755839,-37.825618522009854,3626.138059630786,3790.254748258752,4.329964594157191,600.7004579393162,125.18915703743951,2083200733.3845556,132.68409735936004
8,EIB1S,3,65.81583052445792,-37.73822374111791,3623.993107871637,3790.254748258752,4.386555823549728,600.289757130587,125.10356481362838,2083200732.9738543,132.68409735936004
8,EIB1S,4,65.77916914131373,-37.764391862394994,3626.310681872634,3790.254748258752,4.325410223717377,600.4127309336188,125.1291932055095,2083200733.096828,132.68409735936004
8,EIB1S,5,65.75833420253196,-37.723809096822535,3627.350008699328,3790.254748258752,4.297989195429742,600.2220173181036,125.08944747792373,2083200732.9061143,132.68409735936004
8,EIB1S,6,65.7803935285746,-37.76292908888218,3626.230274693117,3790.254748258752,4.327531642589137,600.405856813007,125.1277606023653,2083200733.089954,132.68409735936004
8,EIB1S,7,65.74731894142849,-37.78448671334297,3628.3131033684585,3790.254748258752,4.27257943452717,600.5071641646585,125.14887359102268,2083200733.1912613,132.68409735936004
8,EIB1S,8,65.76529412909662,-37.71955499564156,3626.9131380596327,3790.254748258752,4.309515350496116,600.2020257032998,125.08528111951328,2083200732.886123,132.68409735936004
8,EIB1S,9,65.79922145910093,-37.75318160662791,3625.0583151578808,3790.254748258752,4.358451979428619,600.360049743019,125.11821416636322,2083200733.044147,132.68409735936004
8,EIB1S,10,65.76179624770737,-37.6672496918882,3626.858773723111,3790.254748258752,4.310949669298744,599.956223490249,125.03405463642495,2083200732.6403208,132.68409735936004
8,EIB2,1,65.96713459410019,-45.26114211439239,7344.71797411185,7599.417899437249,3.3515715110792885,1278.1204049586856,266.36706194303065,4188801544.9153104,266.79490544301416
8,EIB2,2,65.97697733296505,-45.301691289330215,7343.941172731535,7599.417899437249,3.3617933647869496,1278.5035654664423,266.4469146222522,4188801545.298471,266.79490544301416
8,EIB2,3,65.96364918842077,-45.138599598754496,7343.902303743949,7599.417899437249,3.3623048380089857,1276.962466416519,266.1257414178353,4188801543.757372,266.79490544301416
8,EIB2,4,65.98254738950955,-45.19153427333784,7342.160032012231,7599.417899437249,3.385231222039632,1277.4626609783656,266.2299846137987,4188801544.2575674,266.79490544301416
