utm_x,utm_y,elevation
454972.2109446064,6089449.318064798,-38.530453
455261.5333024528,6089449.318064798,-38.682575
455550.8556602992,6089449.318064798,-38.197475
455840.1780181456,6089449.318064798,-38.05734
456129.500375992,6089449.318064798,-37.85257
456418.8227338384,6089449.318064798,-37.85016
456708.14509168477,6089449.318064798,-37.47345
456997.4674495312,6089449.318064798,-37.1679
457286.78980737756,6089449.318064798,-36.854836
457576.112165224,6089449.318064798,-36.644943
457865.43452307035,6089449.318064798,-36.401947
458154.7568809168,6089449.318064798,-36.36676
458444.07923876314,6089449.318064798,-35.843384
458733.40159660956,6089449.318064798,-35.437977
459022.7239544559,6089449.318064798,-34.85038
459312.04631230235,6089449.318064798,-34.632195
459601.3686701487,6089449.318064798,-34.56923
459890.69102799514,6089449.318064798,-34.432213
460180.0133858415,6089449.318064798,-34.505165
460469.33574368793,6089449.318064798,-34.460823
460758.6581015343,6089449.318064798,-33.936584
461047.9804593807,6089449.318064798,-32.764782
461337.3028172271,6089449.318064798,-31.601631
461626.6251750735,6089449.318064798,-30.027409
461915.9475329199,6089449.318064798,-28.970158
462205.2698907663,6089449.318064798,-28.111744
462494.59224861267,6089449.318064798,-26.91105
462783.9146064591,6089449.318064798,-26.418823
463073.23696430546,6089449.318064798,-26.980692
463362.5593221519,6089449.318064798,-27.166246
463651.88167999825,6089449.318064798,-27.027271
463941.20403784467,6089449.318064798,-26.768295
464230.52639569103,6089449.318064798,-26.414146
464519.84875353746,6089449.318064798,-25.650337
464809.1711113838,6089449.318064798,-25.444948
465098.49346923025,6089449.318064798,-25.078152
465387.8158270766,6089449.318064798,-24.356041
465677.13818492304,6089449.318064798,-24.695564
465966.4605427694,6089449.318064798,-24.042215
466255.7829006158,6089449.318064798,-23.438204
454972.2109446064,6089729.02293934,-38.034893
455261.5333024528,6089729.02293934,-38.76524
455550.8556602992,6089729.02293934,-38.690857
455840.1780181456,6089729.02293934,-38.03482
456129.500375992,6089729.02293934,-38.00274
456418.8227338384,6089729.02293934,-38.061707
456708.14509168477,6089729.02293934,-37.73398
456997.4674495312,6089729.02293934,-37.35942
457286.78980737756,6089729.02293934,-37.100544
457576.112165224,6089729.02293934,-36.655014
457865.43452307035,6089729.02293934,-36.398445
458154.7568809168,6089729.02293934,-36.303852
458444.07923876314,6089729.02293934,-35.98265
458733.40159660956,6089729.02293934,-35.774902
459022.7239544559,6089729.02293934,-34.740395
459312.04631230235,6089729.02293934,-34.017685
459601.3686701487,6089729.02293934,-34.01581
459890.69102799514,6089729.02293934,-34.54193
460180.0133858415,6089729.02293934,-34.798145
460469.33574368793,6089729.02293934,-34.41984
460758.6581015343,6089729.02293934,-34.23593
461047.9804593807,6089729.02293934,-33.233833
461337.3028172271,6089729.02293934,-32.52807
461626.6251750735,6089729.02293934,-31.41771
461915.9475329199,6089729.02293934,-28.957468
462205.2698907663,6089729.02293934,-28.334103
462494.59224861267,6089729.02293934,-27.393154
462783.9146064591,6089729.02293934,-26.610638
463073.23696430546,6089729.02293934,-26.307198
463362.5593221519,6089729.02293934,-26.912483
463651.88167999825,6089729.02293934,-27.287495
463941.20403784467,6089729.02293934,-27.086624
464230.52639569103,6089729.02293934,-26.727695
464519.84875353746,6089729.02293934,-26.104155
464809.1711113838,6089729.02293934,-25.726929
465098.49346923025,6089729.02293934,-25.226824
465387.8158270766,6089729.02293934,-24.755049
465677.13818492304,6089729.02293934,-24.384708
465966.4605427694,6089729.02293934,-24.007889
466255.7829006158,6089729.02293934,-23.925327
454972.2109446064,6090008.727813884,-37.201378
455261.5333024528,6090008.727813884,-37.44391
455550.8556602992,6090008.727813884,-38.193893
455840.1780181456,6090008.727813884,-38.57029
456129.500375992,6090008.727813884,-38.22045
456418.8227338384,6090008.727813884,-38.099693
456708.14509168477,6090008.727813884,-37.69404
456997.4674495312,6090008.727813884,-37.33347
457286.78980737756,6090008.727813884,-36.986523
457576.112165224,6090008.727813884,-36.78927
457865.43452307035,6090008.727813884,-36.443104
458154.7568809168,6090008.727813884,-36.352615
458444.07923876314,6090008.727813884,-36.73482
458733.40159660956,6090008.727813884,-36.260075
459022.7239544559,6090008.727813884,-35.442825
459312.04631230235,6090008.727813884,-34.717613
459601.3686701487,6090008.727813884,-34.76053
459890.69102799514,6090008.727813884,-35.301346
460180.0133858415,6090008.727813884,-34.8777
460469.33574368793,6090008.727813884,-34.777718
460758.6581015343,6090008.727813884,-34.388153
461047.9804593807,6090008.727813884,-33.685215
461337.3028172271,6090008.727813884,-33.49408
461626.6251750735,6090008.727813884,-32.74015
461915.9475329199,6090008.727813884,-31.052288
462205.2698907663,6090008.727813884,-29.043003
462494.59224861267,6090008.727813884,-28.524889
462783.9146064591,6090008.727813884,-27.433401
463073.23696430546,6090008.727813884,-26.974335
463362.5593221519,6090008.727813884,-26.574253
463651.88167999825,6090008.727813884,-27.162842
463941.20403784467,6090008.727813884,-27.057047
464230.52639569103,6090008.727813884,-26.777012
464519.84875353746,6090008.727813884,-26.311195
464809.1711113838,6090008.727813884,-25.840757
465098.49346923025,6090008.727813884,-25.222128
465387.8158270766,6090008.727813884,-24.969196
465677.13818492304,6090008.727813884,-24.391962
465966.4605427694,6090008.727813884,-24.184443
466255.7829006158,6090008.727813884,-23.853977
454972.2109446064,6090288.432688426,-38.456833
455261.5333024528,6090288.432688426,-38.639553
455550.8556602992,6090288.432688426,-38.402103
455840.1780181456,6090288.432688426,-38.08789
456129.500375992,6090288.432688426,-38.225544
456418.8227338384,6090288.432688426,-37.73121
456708.14509168477,6090288.432688426,-38.11811
456997.4674495312,6090288.432688426,-37.86792
457286.78980737756,6090288.432688426,-37.577103
457576.112165224,6090288.432688426,-37.260326
457865.43452307035,6090288.432688426,-36.89389
458154.7568809168,6090288.432688426,-35.68978
458444.07923876314,6090288.432688426,-36.177563
458733.40159660956,6090288.432688426,-36.348644
459022.7239544559,6090288.432688426,-35.696667
459312.04631230235,6090288.432688426,-34.490494
459601.3686701487,6090288.432688426,-35.339077
459890.69102799514,6090288.432688426,-35.512886
460180.0133858415,6090288.432688426,-34.927677
460469.33574368793,6090288.432688426,-35.061974
460758.6581015343,6090288.432688426,-34.23611
461047.9804593807,6090288.432688426,-34.423985
461337.3028172271,6090288.432688426,-34.055557
461626.6251750735,6090288.432688426,-33.228123
461915.9475329199,6090288.432688426,-31.951788
462205.2698907663,6090288.432688426,-30.186298
462494.59224861267,6090288.432688426,-29.089947
462783.9146064591,6090288.432688426,-28.194727
463073.23696430546,6090288.432688426,-27.453087
463362.5593221519,6090288.432688426,-26.990227
463651.88167999825,6090288.432688426,-26.706673
463941.20403784467,6090288.432688426,-26.697577
464230.52639569103,6090288.432688426,-26.710918
464519.84875353746,6090288.432688426,-26.479282
464809.1711113838,6090288.432688426,-26.275877
465098.49346923025,6090288.432688426,-25.632505
465387.8158270766,6090288.432688426,-25.177412
465677.13818492304,6090288.432688426,-24.914146
465966.4605427694,6090288.432688426,-24.72622
466255.7829006158,6090288.432688426,-24.048435
454972.2109446064,6090568.137562969,-37.923153
455261.5333024528,6090568.137562969,-38.048923
455550.8556602992,6090568.137562969,-38.489754
455840.1780181456,6090568.137562969,-38.77865
456129.500375992,6090568.137562969,-38.039684
456418.8227338384,6090568.137562969,-37.967667
456708.14509168477,6090568.137562969,-38.24687
456997.4674495312,6090568.137562969,-38.176353
457286.78980737756,6090568.137562969,-37.657516
457576.112165224,6090568.137562969,-37.43444
457865.43452307035,6090568.137562969,-37.18099
458154.7568809168,6090568.137562969,-36.50058
458444.07923876314,6090568.137562969,-37.151005
458733.40159660956,6090568.137562969,-36.72236
459022.7239544559,6090568.137562969,-35.913155
459312.04631230235,6090568.137562969,-34.455162
459601.3686701487,6090568.137562969,-35.591534
459890.69102799514,6090568.137562969,-35.899555
460180.0133858415,6090568.137562969,-35.652645
460469.33574368793,6090568.137562969,-35.3045
460758.6581015343,6090568.137562969,-34.63774
461047.9804593807,6090568.137562969,-34.99102
461337.3028172271,6090568.137562969,-34.631023
461626.6251750735,6090568.137562969,-33.680347
461915.9475329199,6090568.137562969,-32.658646
462205.2698907663,6090568.137562969,-32.04045
462494.59224861267,6090568.137562969,-30.48083
462783.9146064591,6090568.137562969,-29.110542
463073.23696430546,6090568.137562969,-27.958519
463362.5593221519,6090568.137562969,-27.324692
463651.88167999825,6090568.137562969,-26.602472
463941.20403784467,6090568.137562969,-26.56433
464230.52639569103,6090568.137562969,-26.362114
464519.84875353746,6090568.137562969,-26.41776
464809.1711113838,6090568.137562969,-26.108505
465098.49346923025,6090568.137562969,-25.913105
465387.8158270766,6090568.137562969,-25.11375
465677.13818492304,6090568.137562969,-25.036678
465966.4605427694,6090568.137562969,-24.722897
466255.7829006158,6090568.137562969,-24.48722
454972.2109446064,6090847.842437511,-38.037407
455261.5333024528,6090847.842437511,-38.799484
455550.8556602992,6090847.842437511,-38.769577
455840.1780181456,6090847.842437511,-38.720123
456129.500375992,6090847.842437511,-38.548496
456418.8227338384,6090847.842437511,-37.84189
456708.14509168477,6090847.842437511,-37.899117
456997.4674495312,6090847.842437511,-37.983986
457286.78980737756,6090847.842437511,-37.617348
457576.112165224,6090847.842437511,-36.878887
457865.43452307035,6090847.842437511,-37.229362
458154.7568809168,6090847.842437511,-36.59323
458444.07923876314,6090847.842437511,-37.30081
458733.40159660956,6090847.842437511,-36.763817
459022.7239544559,6090847.842437511,-36.46826
459312.04631230235,6090847.842437511,-35.51702
459601.3686701487,6090847.842437511,-36.1513
459890.69102799514,6090847.842437511,-35.705868
460180.0133858415,6090847.842437511,-35.858883
460469.33574368793,6090847.842437511,-35.45272
460758.6581015343,6090847.842437511,-34.603764
461047.9804593807,6090847.842437511,-34.709274
461337.3028172271,6090847.842437511,-34.742447
461626.6251750735,6090847.842437511,-34.478775
461915.9475329199,6090847.842437511,-33.454086
462205.2698907663,6090847.842437511,-32.516884
462494.59224861267,6090847.842437511,-31.391247
462783.9146064591,6090847.842437511,-30.401642
463073.23696430546,6090847.842437511,-28.731915
463362.5593221519,6090847.842437511,-28.048244
463651.88167999825,6090847.842437511,-26.744396
463941.20403784467,6090847.842437511,-26.359047
464230.52639569103,6090847.842437511,-26.301937
464519.84875353746,6090847.842437511,-26.091398
464809.1711113838,6090847.842437511,-25.941086
465098.49346923025,6090847.842437511,-25.722979
465387.8158270766,6090847.842437511,-25.452246
465677.13818492304,6090847.842437511,-25.187386
465966.4605427694,6090847.842437511,-24.845884
466255.7829006158,6090847.842437511,-24.493767
454972.2109446064,6091127.547312055,-38.34355
455261.5333024528,6091127.547312055,-39.345634
455550.8556602992,6091127.547312055,-39.362045
455840.1780181456,6091127.547312055,-38.88573
456129.500375992,6091127.547312055,-38.636986
456418.8227338384,6091127.547312055,-37.528984
456708.14509168477,6091127.547312055,-37.791862
456997.4674495312,6091127.547312055,-38.097504
457286.78980737756,6091127.547312055,-37.932365
457576.112165224,6091127.547312055,-36.643
457865.43452307035,6091127.547312055,-37.09938
458154.7568809168,6091127.547312055,-36.73251
458444.07923876314,6091127.547312055,-37.4422
458733.40159660956,6091127.547312055,-37.054752
459022.7239544559,6091127.547312055,-36.95483
459312.04631230235,6091127.547312055,-35.815918
459601.3686701487,6091127.547312055,-36.226738
459890.69102799514,6091127.547312055,-35.85252
460180.0133858415,6091127.547312055,-36.13402
460469.33574368793,6091127.547312055,-35.78773
460758.6581015343,6091127.547312055,-34.695683
461047.9804593807,6091127.547312055,-34.68918
461337.3028172271,6091127.547312055,-34.923878
461626.6251750735,6091127.547312055,-34.451534
461915.9475329199,6091127.547312055,-33.466637
462205.2698907663,6091127.547312055,-33.55891
462494.59224861267,6091127.547312055,-32.537247
462783.9146064591,6091127.547312055,-31.485855
463073.23696430546,6091127.547312055,-30.066252
463362.5593221519,6091127.547312055,-28.75407
463651.88167999825,6091127.547312055,-28.05337
463941.20403784467,6091127.547312055,-26.911856
464230.52639569103,6091127.547312055,-26.37897
464519.84875353746,6091127.547312055,-25.918222
464809.1711113838,6091127.547312055,-25.506863
465098.49346923025,6091127.547312055,-25.773638
465387.8158270766,6091127.547312055,-25.79586
465677.13818492304,6091127.547312055,-25.4793
465966.4605427694,6091127.547312055,-25.211067
466255.7829006158,6091127.547312055,-25.03995
454972.2109446064,6091407.252186597,-38.823433
455261.5333024528,6091407.252186597,-39.635143
455550.8556602992,6091407.252186597,-39.763344
455840.1780181456,6091407.252186597,-39.43045
456129.500375992,6091407.252186597,-38.960503
456418.8227338384,6091407.252186597,-37.87159
456708.14509168477,6091407.252186597,-38.481155
456997.4674495312,6091407.252186597,-38.456898
457286.78980737756,6091407.252186597,-37.968746
457576.112165224,6091407.252186597,-36.77939
457865.43452307035,6091407.252186597,-37.09958
458154.7568809168,6091407.252186597,-38.24744
458444.07923876314,6091407.252186597,-38.056442
458733.40159660956,6091407.252186597,-37.48609
459022.7239544559,6091407.252186597,-37.01248
459312.04631230235,6091407.252186597,-35.914814
459601.3686701487,6091407.252186597,-36.29532
459890.69102799514,6091407.252186597,-36.108208
460180.0133858415,6091407.252186597,-35.977444
460469.33574368793,6091407.252186597,-36.400257
460758.6581015343,6091407.252186597,-36.06642
461047.9804593807,6091407.252186597,-36.058456
461337.3028172271,6091407.252186597,-36.081867
461626.6251750735,6091407.252186597,-35.414368
461915.9475329199,6091407.252186597,-34.926228
462205.2698907663,6091407.252186597,-34.289986
462494.59224861267,6091407.252186597,-33.21484
462783.9146064591,6091407.252186597,-32.06357
463073.23696430546,6091407.252186597,-30.637291
463362.5593221519,6091407.252186597,-29.693413
463651.88167999825,6091407.252186597,-28.770985
463941.20403784467,6091407.252186597,-27.703688
464230.52639569103,6091407.252186597,-26.944962
464519.84875353746,6091407.252186597,-25.882647
464809.1711113838,6091407.252186597,-25.652206
465098.49346923025,6091407.252186597,-25.279272
465387.8158270766,6091407.252186597,-25.59092
465677.13818492304,6091407.252186597,-25.230627
465966.4605427694,6091407.252186597,-25.54329
466255.7829006158,6091407.252186597,-25.309174
454972.2109446064,6091686.95706114,-39.232338
455261.5333024528,6091686.95706114,-40.018063
455550.8556602992,6091686.95706114,-40.095123
455840.1780181456,6091686.95706114,-40.255646
456129.500375992,6091686.95706114,-39.18336
456418.8227338384,6091686.95706114,-38.64264
456708.14509168477,6091686.95706114,-38.83943
456997.4674495312,6091686.95706114,-38.682465
457286.78980737756,6091686.95706114,-38.436554
457576.112165224,6091686.95706114,-37.385914
457865.43452307035,6091686.95706114,-37.464508
458154.7568809168,6091686.95706114,-38.539787
458444.07923876314,6091686.95706114,-38.083866
458733.40159660956,6091686.95706114,-37.90174
459022.7239544559,6091686.95706114,-37.29885
459312.04631230235,6091686.95706114,-36.315727
459601.3686701487,6091686.95706114,-36.787766
459890.69102799514,6091686.95706114,-36.33973
460180.0133858415,6091686.95706114,-36.461082
460469.33574368793,6091686.95706114,-36.231823
460758.6581015343,6091686.95706114,-35.912636
461047.9804593807,6091686.95706114,-36.17757
461337.3028172271,6091686.95706114,-35.913887
461626.6251750735,6091686.95706114,-35.97106
461915.9475329199,6091686.95706114,-35.4173
462205.2698907663,6091686.95706114,-35.052956
