utm_x,utm_y,elevation
467894.1714699299,6058221.189142275,-36.53765
468377.4806689782,6058221.189142275,-37.49476
468860.78986802645,6058221.189142275,-38.44681
469344.0990670747,6058221.189142275,-39.2987
469827.40826612303,6058221.189142275,-40.15181
470310.7174651713,6058221.189142275,-41.046463
470794.02666421956,6058221.189142275,-41.74968
471277.3358632678,6058221.189142275,-42.420067
471760.6450623161,6058221.189142275,-43.00287
472243.95426136436,6058221.189142275,-43.62779
472727.2634604126,6058221.189142275,-44.293095
473210.57265946094,6058221.189142275,-44.883186
473693.8818585092,6058221.189142275,-45.400112
474177.1910575575,6058221.189142275,-45.96315
474660.50025660574,6058221.189142275,-46.46236
475143.809455654,6058221.189142275,-46.909836
475627.11865470227,6058221.189142275,-47.315315
476110.42785375053,6058221.189142275,-47.84002
476593.73705279885,6058221.189142275,-48.075005
477077.0462518471,6058221.189142275,-48.40227
477560.3554508954,6058221.189142275,-48.684093
478043.66464994365,6058221.189142275,-49.001
478526.9738489919,6058221.189142275,-49.242752
479010.2830480402,6058221.189142275,-49.45384
479493.59224708844,6058221.189142275,-49.65237
479976.90144613676,6058221.189142275,-49.83433
480460.210645185,6058221.189142275,-50.02144
480943.5198442333,6058221.189142275,-50.196274
481426.82904328156,6058221.189142275,-50.34643
481910.1382423298,6058221.189142275,-50.460186
482393.4474413781,6058221.189142275,-50.59777
482876.75664042635,6058221.189142275,-50.771095
483360.0658394747,6058221.189142275,-50.883053
483843.37503852294,6058221.189142275,-50.98937
484326.6842375712,6058221.189142275,-51.107933
484809.99343661946,6058221.189142275,-51.218113
485293.30263566773,6058221.189142275,-51.325195
485776.611834716,6058221.189142275,-51.41613
486259.92103376426,6058221.189142275,-51.51791
486743.2302328126,6058221.189142275,-51.579407
487226.53943186085,6058221.189142275,-51.701538
487709.8486309091,6058221.189142275,-51.79781
488193.1578299574,6058221.189142275,-51.890022
488676.46702900564,6058221.189142275,-51.966675
489159.7762280539,6058221.189142275,-52.01931
489643.08542710217,6058221.189142275,-52.113976
490126.3946261505,6058221.189142275,-52.231865
490609.70382519875,6058221.189142275,-52.332474
491093.013024247,6058221.189142275,-52.434856
491576.3222232953,6058221.189142275,-52.547638
492059.63142234355,6058221.189142275,-52.695297
492542.9406213918,6058221.189142275,-52.845173
493026.2498204401,6058221.189142275,-53.00882
493509.55901948834,6058221.189142275,-53.236053
493992.86821853666,6058221.189142275,-53.399582
494476.1774175849,6058221.189142275,-53.56558
494959.4866166332,6058221.189142275,-53.809814
495442.79581568146,6058221.189142275,-54.052597
495926.1050147297,6058221.189142275,-54.25836
496409.414213778,6058221.189142275,-54.476135
496892.72341282625,6058221.189142275,-54.683285
497376.0326118746,6058221.189142275,-54.90645
497859.34181092284,6058221.189142275,-55.168346
498342.6510099711,6058221.189142275,-55.404846
498825.96020901937,6058221.189142275,-55.612446
467894.1714699299,6058698.759424217,-36.48824
468377.4806689782,6058698.759424217,-37.370487
468860.78986802645,6058698.759424217,-38.238632
469344.0990670747,6058698.759424217,-39.091713
469827.40826612303,6058698.759424217,-39.919033
470310.7174651713,6058698.759424217,-40.90364
470794.02666421956,6058698.759424217,-41.599045
471277.3358632678,6058698.759424217,-42.23312
