turbine [MW],site,seed,LCOE [€/MWh],avg_water_depth [m],AEP [GWh],AEP without wake loss [GWh],Wake loss [%],Monopile Cost [M€],Monopile Tax [M€],CAPEX [M€],Turbine Tax [M€]
8,EIB1N,1,61.377519671895925,-42.16396723149555,3630.838782588586,3795.1989894164094,4.330740161086993,491.64995810116335,,,
8,EIB1N,2,61.384779602519934,-42.076310009390575,3629.995081034547,3795.1989894164094,4.352970920432992,491.3238732349329,,,
8,EIB1N,3,61.39696192060262,-42.13708702213252,3629.471750644979,3795.1989894164094,4.366760194487602,491.5499637223329,,,
8,EIB1N,4,61.398071528978704,-42.07823631591325,3629.147827274381,3795.1989894164094,4.3752952771407365,491.3310390951973,,,
8,EIB1N,5,61.372701045842135,-42.12494074152962,3630.981610263361,3795.1989894164094,4.32697678332542,491.50477955849016,,,
8,EIB1N,6,61.35193513110393,-42.09087446102634,3632.173351231295,3795.1989894164094,4.295575505783531,491.378052995018,,,
8,EIB1N,7,61.349123700379465,-42.10905906135562,3632.4326652821687,3795.1989894164094,4.288742819234105,491.4456997082429,,,
8,EIB1N,8,61.3461166509153,-42.06840751417879,3632.45193160345,3795.1989894164094,4.288235169402429,491.29447595274513,,,
8,EIB1N,9,61.36107410819854,-42.17525683905692,3631.94669578412,3795.1989894164094,4.301547668186792,491.6919554412917,,,
8,EIB1N,10,61.35886294605451,-42.24803149311239,3632.401666974916,3795.1989894164094,4.289559596097161,491.96267715437807,,,
8,EIB1S,1,61.1596392171883,-37.49747708882585,3624.817351619504,3790.254748258752,4.364809429108939,474.29061477043217,,,
8,EIB1S,2,61.16577515187529,-37.4067446097935,3624.030429041679,3790.254748258752,4.385571162292886,473.9530899484319,,,
8,EIB1S,3,61.17161736620805,-37.44454594385648,3623.816357101937,3790.254748258752,4.391219118801351,474.0937109111461,,,
8,EIB1S,4,61.16591048046333,-37.40383249545651,3624.009150273881,3790.254748258752,4.38613256961803,473.9422568830982,,,
8,EIB1S,5,61.15951419448422,-37.40804952280563,3624.440077844318,3790.254748258752,4.374763213227535,473.9579442248369,,,
8,EIB1S,6,61.18577263338516,-37.42566294302248,3622.8220553639017,3790.254748258752,4.417452229873697,474.0234661480436,,,
8,EIB1S,7,61.15209518535266,-37.4185942362262,3624.964394581777,3790.254748258752,4.360929928335546,473.9971705587614,,,
8,EIB1S,8,61.164695861790406,-37.37258280157493,3623.952880654384,3790.254748258752,4.38761715636045,473.82600802185874,,,
8,EIB1S,9,61.164536489839726,-37.572578552929805,3624.824868550394,3790.254748258752,4.364611106531987,474.5699922168988,,,
