turbine [MW],site,seed,LCOE [€/MWh],avg_water_depth [m],AEP [GWh],AEP without wake loss [GWh],Wake loss [%],Monopile Cost [M€],Monopile Tax [M€],Turbine Tax [M€]
8,EIB1N,1,64.90019755193488,-42.16349997462097,3630.8318063805714,3796.8151687768777,4.371647157366813,588.7263956905847,97.07817578499468,99.53502184096384
8,EIB1N,2,64.87115098528533,-42.19367223937061,3632.7393415257434,3796.8151687768777,4.32140675691599,588.8607989765093,97.10033824605058,99.53502184096384
8,EIB1N,3,64.88713133014292,-42.26906367380325,3632.134771275724,3796.8151687768777,4.337329845692866,589.1966324514701,97.15571558492204,99.53502184096384
8,EIB1N,4,64.84359006140622,-42.16843362414542,3634.29018710943,3796.8151687768777,4.280560797480279,588.7483727848861,97.08179970306504,99.53502184096384
8,EIB1N,5,64.88600966300307,-42.33260683962765,3632.510270996913,3796.8151687768777,4.327439985257285,589.4796874476963,97.20239000428153,99.53502184096384
8,EIB1N,6,64.88387019782157,-42.30435913196875,3632.5033607639857,3796.8151687768777,4.327621986029521,589.353857160819,97.18164118989516,99.53502184096384
8,EIB1N,7,64.87560476761249,-42.19903499096313,3632.495077666548,3796.8151687768777,4.32784014511995,588.8846875192359,97.10427735285306,99.53502184096384
8,EIB1N,8,64.92900631490342,-42.24161461846828,3629.464117941168,3796.8151687768777,4.40766914892045,589.0743597860552,97.13555340535316,99.53502184096384
8,EIB1N,9,64.905242859763,-42.22512397426058,3630.824099973741,3796.8151687768777,4.371850127658688,589.0009017017212,97.1234405174718,99.53502184096384
8,EIB1N,10,64.90395709267075,-42.21525713260219,3630.854302379836,3796.8151687768777,4.371054660806809,588.9569495505788,97.11619301729858,99.53502184096384
8,EIB1S,1,64.59851454498339,-37.67890051101468,3627.406244480697,3791.8702953006687,4.337280497800649,568.749608765058,93.78409886408336,99.53502184096384
8,EIB1S,2,64.61508262241894,-37.77395936960825,3626.860181374429,3791.8702953006687,4.351681388752647,569.1730513888459,93.85392253390322,99.53502184096384
8,EIB1S,3,64.6255798205721,-37.75186036840438,3626.114266988507,3791.8702953006687,4.371352799635207,569.0746107049231,93.83769013445894,99.53502184096384
8,EIB1S,4,64.58859753076212,-37.68646376931784,3628.0467138606487,3791.8702953006687,4.32038990476677,568.7832995329427,93.78965431108044,99.53502184096384
8,EIB1S,5,64.57953112607666,-37.68781092480034,3628.605357227397,3791.8702953006687,4.305657244542582,568.789300478679,93.79064383842172,99.53502184096384
8,EIB1S,6,64.60321143061621,-37.64294833073299,3626.945606448976,3791.8702953006687,4.349428540741155,568.589458666744,93.75769087641724,99.53502184096384
8,EIB1S,7,64.59016959297327,-37.63380678297432,3627.69494239788,3791.8702953006687,4.329666895680862,568.548737359696,93.75097612703158,99.53502184096384
8,EIB1S,8,64.59302065035338,-37.69190802340417,3627.80390550691,3791.8702953006687,4.3267932976792265,568.8075511310474,93.79365328398384,99.53502184096384
8,EIB1S,9,64.60389265217609,-37.76374396295889,3627.49142038218,3791.8702953006687,4.335034221033518,569.1275465441773,93.84641900197036,99.53502184096384
8,EIB1S,10,64.59942567213633,-37.6927786734584,3627.418266360983,3791.8702953006687,4.336963454248271,568.811429468625,93.79429280335964,99.53502184096384
8,EIB2,1,64.77509453687722,-45.286806967329646,7346.429141245442,7602.708196021391,3.3708916371413973,1211.7585185340931,199.81320241846723,200.140312733981
8,EIB2,2,64.76995690786099,-45.17655690942208,7345.985851429281,7602.708196021391,3.3767223201655505,1210.7710131754168,199.65036749294,200.140312733981
8,EIB2,3,64.76857741107851,-45.28512534604551,7347.2137974350735,7602.708196021391,3.3605708913045143,1211.743456319516,199.81071873109536,200.140312733981
8,EIB2,4,64.76550021556045,-45.19245666155157,7346.688648148601,7602.708196021391,3.367478288944049,1210.913426619251,199.6738507908452,200.140312733981
8,EIB2,5,64.76631355759847,-45.205042675786565,7346.71137057026,7602.708196021391,3.3671794162124677,1211.026159045313,199.6924398304297,200.140312733981
8,EIB2,6,64.76484447318856,-45.18827966454067,7346.728533687088,7602.708196021391,3.3669536661720176,1210.876013424104,199.66768153333996,200.140312733981
8,EIB2,7,64.762266312053,-45.179441547664446,7346.959304811338,7602.708196021391,3.3639182856431304,1210.7968507647684,199.65462798823847,200.140312733981
8,EIB2,8,64.78480573043117,-45.360908618734605,7345.958013223711,7602.708196021391,3.377088481865468,1212.4222440616609,199.92264759352625,200.140312733981
8,EIB2,9,64.75993561763332,-45.03942882696119,7345.880710458135,7602.708196021391,3.378105261197028,1209.542762425938,199.44783480026865,200.140312733981
8,EIB2,10,64.75339444635927,-45.20736087167425,7348.322387141578,7602.708196021391,3.3459893806385503,1211.0469230331516,199.69586371302805,200.140312733981
10,EIB1N,1,64.4802061897741,-42.247796757512646,3694.104842524744,3847.26763939319,3.9810798526250615,593.8527200761214,97.92348223544911,107.40935039379256
10,EIB1N,2,64.46324615177171,-42.20189381639116,3694.932974691279,3847.26763939319,3.9595546496977816,593.646595005513,97.889493194046,107.40935039379256
10,EIB1N,3,64.51363119744936,-42.24996011632116,3692.04071804783,3847.26763939319,4.034731552230748,593.8624345405168,97.92508410431236,107.40935039379256
10,EIB1N,4,64.48626213304078,-42.180060908085615,3693.396147079509,3847.26763939319,3.999500599806222,593.5485553231717,97.87332691785066,107.40935039379256
10,EIB1N,5,64.46888867965342,-42.18768343000115,3694.512590753816,3847.26763939319,3.9704814678156377,593.5827839113551,97.87897104885086,107.40935039379256
10,EIB1N,6,64.48744524834893,-42.1811880097687,3693.3282256003854,3847.26763939319,4.001266047014209,593.5536165220477,97.87416148541512,107.40935039379256
10,EIB1N,7,64.51430235016183,-42.26652287277681,3692.0803762818746,3847.26763939319,4.033700736655598,593.9368088455282,97.9373480726152,107.40935039379256
10,EIB1N,8,64.47797269102196,-42.13445158410793,3693.6868972419056,3847.26763939319,3.9919432840785687,593.3437487270011,97.8395552865963,107.40935039379256
10,EIB1N,9,64.49912405081136,-42.24027905101614,3692.8933866535153,3847.26763939319,4.012568586572872,593.8189621568129,97.9179157155024,107.40935039379256
10,EIB1N,10,64.4857195367635,-42.18325486140114,3693.4455204478095,3847.26763939319,3.998217263866838,593.5628976253554,97.87569189510111,107.40935039379256
10,EIB1S,1,64.41832200966786,-37.95274923783692,3676.8370731329446,3840.348031408999,4.257711981798252,574.5660044184503,94.74319477656198,107.40935039379256
10,EIB1S,2,64.40204193353412,-37.77229485248613,3676.9573815312697,3840.348031408999,4.254579234522716,573.7556822035046,94.60957650668176,107.40935039379256
10,EIB1S,3,64.42047183823776,-37.80512514383235,3675.978326685093,3840.348031408999,4.280073143881167,573.9031051345089,94.63388584513768,107.40935039379256
10,EIB1S,4,64.45803187810775,-38.06528071208175,3674.9343009375175,3840.348031408999,4.307258850463929,575.0713218884798,94.82651921817327,107.40935039379256
