turbine [MW],site,seed,x_points,y_points,LCOE [€/MWh],avg_water_depth [m],AEP [GWh],AEP without wake loss [GWh],Wake loss [%],Monopile Cost [M€],n_possible_points
8,EIB1S,1,19,14,61.42052275293645,-37.88227366375923,3609.706932798198,3791.8702953006687,4.804050463651904,475.7220580291843,111.0
8,EIB1S,1,22,17,61.24372421299132,-37.55462021891075,3619.644070274184,3791.8702953006687,4.541986186603675,474.5031872143479,160.0
8,EIB1S,1,25,20,61.13632530757919,-37.49747708882585,3626.322770145248,3791.8702953006687,4.3658541105846025,474.29061477043217,218.0
8,EIB1S,1,28,23,61.22517905541397,-37.734017295676686,3621.610082837303,3791.8702953006687,4.490138090281525,475.1705443399172,284.0
8,EIB1S,1,31,26,61.09829719596957,-37.59380439119682,3629.1965218975897,3791.8702953006687,4.2900669256720985,474.64895233525215,358.0
8,EIB1S,1,34,29,61.04669644422622,-37.47285748311149,3632.015620517197,3791.8702953006687,4.215721064657269,474.1990298371747,440.0
12,EIB1S,1,19,14,60.4622417590874,-37.67250237361786,3671.1604659350432,3825.4784014468055,4.033951294912522,474.9417088298584,111.0
12,EIB1S,1,22,17,60.42909505724155,-37.60841070232202,3673.076016458816,3825.4784014468055,3.9838778054622144,474.7032878126378,160.0
12,EIB1S,1,25,20,60.33482482436154,-37.45794504837972,3678.675570581296,3825.4784014468055,3.837502541119788,474.1435555799725,218.0
12,EIB1S,1,28,23,60.26045684502265,-37.42343811105846,3683.475119915848,3825.4784014468055,3.712039819052471,474.0151897731375,284.0
12,EIB1S,1,31,26,60.3109416314868,-37.78189835305035,3681.681348589773,3825.4784014468055,3.758929936779876,475.3486618733473,358.0
12,EIB1S,1,34,29,60.25550544601816,-37.30534570460963,3683.28800762038,3825.4784014468055,3.7169310320154754,473.57588602114777,440.0
17,EIB1S,1,19,14,59.758688018828416,-37.73910241850994,3738.615398768712,3871.218820378345,3.425366215714809,477.7442430452272,111.0
17,EIB1S,1,22,17,59.686972819521976,-37.65038875548727,3743.123459439517,3871.218820378345,3.3089155349350614,477.4124539455224,160.0
17,EIB1S,1,25,20,59.61861815707333,-37.405812864117536,3746.718506323301,3871.218820378345,3.21604951390676,476.4977401117996,218.0
